// ================================================================================
// CHRONO WORKBENCH - github.com/Concrete-Chrono-Development/chrono-preprocessor
//
// Copyright (c) 2023 
// All rights reserved. 
//
// Use of the code that generated this file is governed by a BSD-style license that
// can be found in the LICENSE file at the top level of the distribution and at
// github.com/Concrete-Chrono-Development/chrono-preprocessor/blob/main/LICENSE
//
// ================================================================================
// Tetrahedra Data File
// ================================================================================
//
// Data Structure:
// Node 1 Node 2 Node 3 Node 4
// Note: Node numbers are zero-indexed
//
// ================================================================================
289 287 290 3770
856 800 2479 3795
3079 1968 1538 3550
529 530 3110 2954
2669 1485 3262 2398
2809 1482 1806 2820
520 2497 3626 4000
3156 2164 1770 2262
476 397 501 2953
2660 552 2439 2701
1538 4017 3676 2531
2099 1396 2178 2092
3814 3001 2980 1742
1551 3518 2616 3712
2684 3060 1401 3405
1873 2039 3680 1904
1156 1185 1186 2427
586 3348 1381 3603
1428 2423 2192 2057
2074 2454 1496 3600
248 198 4055 1829
2446 1481 2460 2826
4039 2262 1481 2083
1536 3716 1524 3834
464 282 2488 3177
4028 2501 3520 2978
1195 1340 1194 3083
3418 28 2264 1521
2301 2058 1629 3398
196 1986 3631 2661
2165 1478 1921 1357
10 63 183 2781
3037 2584 3429 1791
554 717 2457 1806
464 283 429 694
283 519 694 1958
1332 1239 1238 2184
2802 3435 1392 3324
3908 2746 3942 1566
1537 1696 3052 1595
2410 3275 1513 3073
2488 3312 3781 1429
894 895 896 4012
904 763 3295 3465
541 691 2090 2543
2307 3151 2286 1944
3079 2916 3044 2357
3964 2514 1467 3013
3290 1730 2094 2908
1923 1580 2892 2859
2858 2416 2479 3609
1398 3537 2359 1763
3611 308 3498 2650
3443 1858 2282 1924
2300 796 3862 3119
517 1999 2924 1482
3234 1572 2925 1965
1483 2817 3519 2419
1363 3478 2836 1971
1346 1238 1299 3450
3741 2269 1861 2120
474 314 397 2303
1295 1296 2823 4056
731 793 2285 3607
1351 3637 3227 1557
3180 3175 3894 3681
1179 1178 1752 3700
938 778 3526 3561
1828 3210 1587 1964
3891 3457 2541 2365
368 3086 3384 2847
3357 2088 1453 3259
2771 2644 3187 1416
541 626 677 2069
374 381 372 2026
2059 3200 1977 3193
2263 2469 1438 3319
1396 2491 3025 2178
2829 1467 3882 2246
923 778 3561 1421
333 288 866 401
1886 963 3232 1430
3969 2476 3741 3791
923 778 941 3561
867 1268 3007 3661
314 395 2303 2842
1341 1235 4042 3774
1025 1146 1027 1723
2353 1827 3306 1890
1886 689 3329 3190
1462 2981 1486 2780
3469 3151 1436 2307
1380 2449 2728 4019
2186 1797 2593 2256
2072 3428 1744 2876
1845 3990 3005 3759
1373 3107 2188 2641
670 644 3269 1647
2986 3252 2292 1449
1580 3960 3068 2547
3588 2254 1727 1868
2766 2913 3411 1691
1219 1218 1220 3466
2643 3326 2590 3274
405 396 331 2296
3041 3858 2633 3214
106 189 105 1907
