# Particle Data Generated with LDPM Mesh Generation Tool
# [n x y z d]
# Note: Node numbers are zero-indexed

# Number of Nodes: 1150
# Number of Aggregates: 476
197 50.0 41.639957427978516 41.639957427978516 0.0
198 50.0 39.65540313720703 36.04713439941406 0.0
199 50.0 42.19259262084961 32.44123840332031 0.0
200 50.0 35.41666793823242 35.41666793823242 0.0
201 50.0 37.22208023071289 30.260311126708984 0.0
202 50.0 37.274288177490234 10.052633285522461 0.0
203 50.0 41.639957427978516 8.360042572021484 0.0
204 50.0 8.360042572021484 41.639957427978516 0.0
205 50.0 10.073988914489746 36.77393341064453 0.0
206 50.0 7.621562957763672 32.06572723388672 0.0
207 50.0 8.360042572021484 8.360042572021484 0.0
208 50.0 12.880472183227539 10.062904357910156 0.0
209 50.0 17.5822696685791 7.798750400543213 0.0
210 50.0 19.647794723510742 12.796570777893066 0.0
211 50.0 14.462454795837402 15.254508972167969 0.0
212 50.0 36.227657318115234 40.0943717956543 0.0
213 50.0 32.671016693115234 42.273868560791016 0.0
214 50.0 13.924492835998535 39.931243896484375 0.0
215 50.0 17.773849487304688 42.267921447753906 0.0
216 50.0 14.583333015441895 35.41666793823242 0.0
217 50.0 19.90424156188965 37.282676696777344 0.0
218 50.0 40.236263275146484 14.261466026306152 0.0
219 50.0 42.57136917114258 18.05061149597168 0.0
220 50.0 9.7664155960083 14.37635326385498 0.0
221 50.0 7.4277544021606445 18.05099868774414 0.0
222 50.0 25.778953552246094 15.42977523803711 0.0
223 50.0 25.0 10.747354507446289 0.0
224 50.0 21.838773727416992 17.776756286621094 0.0
225 50.0 20.449996948242188 22.260482788085938 0.0
226 50.0 31.373476028442383 37.8624153137207 0.0
227 50.0 25.757957458496094 39.05769729614258 0.0
228 50.0 19.491073608398438 46.26422119140625 0.0
229 50.0 46.54580307006836 19.44444465637207 0.0
230 50.0 3.4541988372802734 19.44444465637207 0.0
231 50.0 19.470035552978516 3.736442804336548 0.0
232 50.0 45.930110931396484 30.392017364501953 0.0
233 50.0 3.874394178390503 30.4233341217041 0.0
234 50.0 30.524688720703125 45.994712829589844 0.0
235 50.0 30.5479679107666 4.392574787139893 0.0
236 50.0 25.170089721679688 20.59870147705078 0.0
237 50.0 17.376235961914062 32.10324478149414 0.0
238 50.0 21.790895462036133 32.202598571777344 0.0
239 50.0 39.47658920288086 25.404436111450195 0.0
240 50.0 35.05754089355469 24.948699951171875 0.0
241 50.0 21.235448837280273 27.920896530151367 0.0
242 50.0 46.42258071899414 41.328609466552734 0.0
243 50.0 41.3096923828125 46.42939758300781 0.0
244 50.0 3.5556793212890625 41.284202575683594 0.0
245 50.0 46.437896728515625 8.710925102233887 0.0
246 50.0 8.636364936828613 46.495880126953125 0.0
247 50.0 8.672061920166016 3.5771710872650146 0.0
248 50.0 3.562077760696411 8.710935592651367 0.0
249 50.0 41.33733367919922 3.6017558574676514 0.0
250 50.0 24.76163101196289 34.84242248535156 0.0
251 50.0 39.20526123046875 20.75476837158203 0.0
252 50.0 10.777931213378906 20.762205123901367 0.0
253 50.0 17.85980987548828 17.561870574951172 0.0
254 50.0 21.80991554260254 42.04376220703125 0.0
255 50.0 21.787294387817383 7.924829483032227 0.0
256 50.0 28.565263748168945 8.312098503112793 0.0
257 50.0 29.065427780151367 42.03479766845703 0.0
258 50.0 41.94532775878906 28.347320556640625 0.0
259 50.0 8.649765968322754 28.783954620361328 0.0
260 50.0 32.86201095581055 32.734554290771484 0.0
261 50.0 11.29833984375 32.933372497558594 0.0
262 20.595439910888672 0.0 34.076683044433594 0.0
263 14.583333015441895 0.0 35.41666793823242 0.0
264 18.752336502075195 0.0 29.169002532958984 0.0
265 25.040069580078125 0.0 11.707837104797363 0.0
266 26.331340789794922 0.0 16.759885787963867 0.0
267 20.945171356201172 0.0 15.203282356262207 0.0
268 44.98529815673828 0.0 25.0 0.0
269 24.0207576751709 0.0 44.55797576904297 0.0
270 27.77777862548828 0.0 50.0 0.0
271 22.22222137451172 0.0 50.0 0.0
272 24.268707275390625 0.0 5.424107074737549 0.0
273 22.22222137451172 0.0 0.0 0.0
274 27.77777862548828 0.0 0.0 0.0
275 4.926973342895508 0.0 25.0 0.0
276 29.83278465270996 0.0 13.685154914855957 0.0
277 12.834373474121094 0.0 29.531787872314453 0.0
278 8.659217834472656 0.0 32.74656295776367 0.0
279 45.26753616333008 0.0 36.3356819152832 0.0
280 36.430267333984375 0.0 45.23345947265625 0.0
281 38.88888931274414 0.0 50.0 0.0
282 33.33333206176758 0.0 50.0 0.0
283 36.37662124633789 0.0 4.739992618560791 0.0
284 33.33333206176758 0.0 0.0 0.0
285 38.88888931274414 0.0 0.0 0.0
286 4.888228893280029 0.0 36.47388458251953 0.0
287 11.11111068725586 0.0 50.0 0.0
288 13.767406463623047 0.0 45.310035705566406 0.0
289 16.66666603088379 0.0 50.0 0.0
290 45.26668930053711 0.0 13.727869033813477 0.0
291 4.765305042266846 0.0 13.573090553283691 0.0
292 13.767461776733398 0.0 4.689837455749512 0.0
293 11.11111068725586 0.0 0.0 0.0
294 16.66666603088379 0.0 0.0 0.0
295 23.932254791259766 0.0 29.612098693847656 0.0
296 33.73493576049805 0.0 28.86785125732422 0.0
297 28.29034423828125 0.0 32.12632369995117 0.0
298 29.7103214263916 0.0 26.2258243560791 0.0
299 24.91738510131836 0.0 24.80985450744629 0.0
300 45.2394905090332 0.0 45.2394905090332 0.0
301 44.44444274902344 0.0 50.0 0.0
302 4.760508060455322 0.0 45.2394905090332 0.0
303 5.55555534362793 0.0 50.0 0.0
304 45.572757720947266 0.0 4.427243709564209 0.0
305 44.44444274902344 0.0 0.0 0.0
306 4.760508060455322 0.0 4.760508060455322 0.0
307 5.55555534362793 0.0 0.0 0.0
308 36.04713439941406 0.0 39.65540313720703 0.0
309 41.639957427978516 0.0 41.639957427978516 0.0
310 32.44123840332031 0.0 42.19259262084961 0.0
311 35.41666793823242 0.0 35.41666793823242 0.0
312 30.260311126708984 0.0 37.22208023071289 0.0
313 10.052633285522461 0.0 37.274288177490234 0.0
314 8.360042572021484 0.0 41.639957427978516 0.0
315 36.77393341064453 0.0 10.073988914489746 0.0
316 41.639957427978516 0.0 8.360042572021484 0.0
317 32.06572723388672 0.0 7.621562957763672 0.0
318 8.360042572021484 0.0 8.360042572021484 0.0
319 10.062904357910156 0.0 12.880472183227539 0.0
